"Student_ID","Term","Section_ID","Instructor_ID","Main_CourseID","Gender","Age","Ethnicity","FirstGen","Military","FosterYouth","DSPS","FinAid","Units_Attempted_Beg_Of_Term","GPA_Beg_Of_Term","TermUnitsAttempted","K12_Student","First_Time_College_Student","Nonresident_Tuition_Exempt","International","Nonresident","WR_Center","Main_Course_SuccessFlag","Main_Course_GradePoints","HS_GPA","Online","N_Center_Visits","Center_Attendance_Hours","N_Conf"
1,"Year 1 Fall",112,9569,"ENG 1","Male",21,"Mixed Ethnicity",0,0,0,0,1,42,2.76190476190476,10,0,0,0,0,0,0,1,2,NA,1,NA,NA,NA
2,"Year 1 Fall",89,1515,"ENG 1","Female",24,"Mixed Ethnicity",0,0,0,0,0,93.5,2.37433155080214,10,0,0,0,0,0,1,0,1,NA,0,17,18.3519444444444,1
3,"Year 1 Fall",99,2357,"ENG 1","Female",24,"Hispanic / Latino",0,0,0,0,1,42,3.30952380952381,10,0,0,1,0,0,0,1,4,2.113,0,NA,NA,NA
9,"Year 1 Fall",102,1672,"ENG 1","Male",24,"White, Non-Hispanic",1,0,0,0,0,49,2.02040816326531,10,0,0,0,0,0,0,1,3,2.249,0,NA,NA,NA
11,"Year 1 Fall",102,1672,"ENG 1","Male",26,"Asian",1,0,0,0,0,25,1.78,7,0,0,0,0,0,0,1,2,3.1,0,NA,NA,NA
14,"Year 1 Fall",102,1672,"ENG 1","Female",21,"White, Non-Hispanic",0,0,0,0,0,29,3.13793103448276,13,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
17,"Year 1 Fall",102,1672,"ENG 1","Female",56,"White, Non-Hispanic",1,0,0,0,1,36,3,4,0,0,0,0,0,0,1,4,NA,0,NA,NA,NA
19,"Year 1 Fall",114,1938,"ENG 1","Male",28,"Mixed Ethnicity",0,0,0,0,1,9,0,13,0,0,0,0,0,0,1,3,3.96,1,NA,NA,NA
23,"Year 1 Fall",80,9935,"ENG 1","Male",23,"White, Non-Hispanic",0,0,0,1,0,84,1.85714285714286,7,0,0,0,0,0,1,1,2,2.95,0,19,12.4230555555556,3
26,"Year 1 Fall",74,5224,"ENG 1","Female",19,"Asian",1,0,0,0,0,5,4,13,0,1,0,0,0,0,1,4,3.35,0,NA,NA,NA
29,"Year 1 Fall",112,9569,"ENG 1","Female",23,"White, Non-Hispanic",1,0,0,0,1,68,2.54411764705882,13,0,0,0,0,0,0,1,4,2.6,1,NA,NA,NA
35,"Year 1 Fall",111,8605,"ENG 1","Female",29,"White, Non-Hispanic",1,0,0,0,0,74.5,3.47651006711409,7,0,0,0,0,0,0,1,3,NA,1,NA,NA,NA
37,"Year 1 Fall",82,1658,"ENG 1","Male",24,"White, Non-Hispanic",0,0,0,0,1,12.5,2.08,0,0,0,0,0,0,0,0,0,3,0,NA,NA,NA
40,"Year 1 Fall",113,9569,"ENG 1","Female",22,"White, Non-Hispanic",1,0,0,0,0,3,4,7,0,0,0,0,0,0,1,4,3.5,1,NA,NA,NA
41,"Year 1 Fall",113,9569,"ENG 1","Female",23,"White, Non-Hispanic",0,0,0,0,1,28,2.53571428571429,7,0,0,0,0,0,0,1,3,NA,1,NA,NA,NA
43,"Year 1 Fall",88,8483,"ENG 1","Male",23,"White, Non-Hispanic",0,1,0,0,0,23,3.47826086956522,9,0,0,0,0,0,0,1,4,3,0,NA,NA,NA
