,Student_ID,Term,Section_ID,Instructor_ID,Main_CourseID,Age,FirstGen,Military,FosterYouth,DSPS,FinAid,Units_Attempted_Beg_Of_Term,GPA_Beg_Of_Term,TermUnitsAttempted,K12_Student,First_Time_College_Student,Nonresident_Tuition_Exempt,International,Nonresident,WR_Center,Main_Course_SuccessFlag,Main_Course_GradePoints,HS_GPA,Online,N_Center_Visits,Center_Attendance_Hours,N_Conf,WR_Center_FailFlag,HS_GPA_Flag,CC_GPA_Flag,Gender_Female,Gender_Male,Ethnicity_Asian,Ethnicity_Hispanic / Latino,Ethnicity_Mixed Ethnicity,"Ethnicity_White, Non-Hispanic"
0,1,Year 1 Fall,112,9569,ENG 1,21,0,0,0,0,1,42.0,2.76190476190476,10.0,0,0,0,0,0,0,1,2,,1,0.0,0.0,0.0,0.0,0,1,0,1,0,0,1,0
1,2,Year 1 Fall,89,1515,ENG 1,24,0,0,0,0,0,93.5,2.37433155080214,10.0,0,0,0,0,0,1,0,1,,0,17.0,18.3519444444444,1.0,1.0,0,1,1,0,0,0,1,0
2,3,Year 1 Fall,99,2357,ENG 1,24,0,0,0,0,1,42.0,3.30952380952381,10.0,0,0,1,0,0,0,1,4,2.113,0,0.0,0.0,0.0,0.0,1,1,1,0,0,1,0,0
3,9,Year 1 Fall,102,1672,ENG 1,24,1,0,0,0,0,49.0,2.02040816326531,10.0,0,0,0,0,0,0,1,3,2.249,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
4,11,Year 1 Fall,102,1672,ENG 1,26,1,0,0,0,0,25.0,1.78,7.0,0,0,0,0,0,0,1,2,3.1,0,0.0,0.0,0.0,0.0,1,1,0,1,1,0,0,0
5,14,Year 1 Fall,102,1672,ENG 1,21,0,0,0,0,0,29.0,3.13793103448276,13.0,0,0,0,0,0,0,1,4,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
6,17,Year 1 Fall,102,1672,ENG 1,56,1,0,0,0,1,36.0,3.0,4.0,0,0,0,0,0,0,1,4,,0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
7,19,Year 1 Fall,114,1938,ENG 1,28,0,0,0,0,1,9.0,0.0,13.0,0,0,0,0,0,0,1,3,3.96,1,0.0,0.0,0.0,0.0,1,1,0,1,0,0,1,0
8,23,Year 1 Fall,80,9935,ENG 1,23,0,0,0,1,0,84.0,1.85714285714286,7.0,0,0,0,0,0,1,1,2,2.95,0,19.0,12.4230555555556,3.0,0.0,1,1,0,1,0,0,0,1
9,26,Year 1 Fall,74,5224,ENG 1,19,1,0,0,0,0,5.0,4.0,13.0,0,1,0,0,0,0,1,4,3.35,0,0.0,0.0,0.0,0.0,1,1,1,0,1,0,0,0
10,29,Year 1 Fall,112,9569,ENG 1,23,1,0,0,0,1,68.0,2.54411764705882,13.0,0,0,0,0,0,0,1,4,2.6,1,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
11,35,Year 1 Fall,111,8605,ENG 1,29,1,0,0,0,0,74.5,3.47651006711409,7.0,0,0,0,0,0,0,1,3,,1,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,1
12,37,Year 1 Fall,82,1658,ENG 1,24,0,0,0,0,1,12.5,2.08,0.0,0,0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,0.0,1,1,0,1,0,0,0,1
13,40,Year 1 Fall,113,9569,ENG 1,22,1,0,0,0,0,3.0,4.0,7.0,0,0,0,0,0,0,1,4,3.5,1,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,1
